homelat,homelon,homecontinent,n
-20.8462,-41.1198,South America,3
-20.2632,-40.4165,South America,27
-20.6033,-41.2031,South America,2
-19.5493,-40.6269,South America,5
-19.937,-40.4078,South America,1
-20.6772,-40.5093,South America,3
-19.8366,-40.3732,South America,2
-21.0095,-40.8307,South America,1
-19.3946,-40.0643,South America,9
-18.715,-40.4053,South America,1
-19.9363,-40.5979,South America,2
-19.0182,-40.5365,South America,1
-18.7214,-39.8579,South America,5
-19.7411,-40.6526,South America,1
-20.121,-40.3074,South America,76
-19.1897,-40.0974,South America,2
-20.327,-41.1355,South America,1
-20.3825,-40.4933,South America,4
-20.3417,-40.2875,South America,100
-20.3155,-40.3128,South America,96
-4.94714,-47.5004,South America,1
-2.93074,-44.0528,South America,1
-2.87326,-44.6741,South America,1
-3.63757,-44.383,South America,1
-3.73875,-43.3538,South America,1
-6.03199,-44.2543,South America,1
-2.77206,-44.0501,South America,0
-5.51847,-47.4777,South America,5
-2.51657,-44.1019,South America,14
-2.4254,-44.0973,South America,2
-3.65112,-45.3774,South America,1
-3.33515,-43.5287,South America,1
-2.54704,-44.0597,South America,23
-2.53874,-44.2825,South America,288
-5.09769,-42.8329,South America,2
-3.20642,-43.3878,South America,1
-3.20451,-44.9912,South America,1
-18.3255,-53.7042,South America,1
-22.2944,-53.2705,South America,6
-20.4486,-54.6295,South America,49
-18.788,-52.6263,South America,5
-19.0077,-57.651,South America,1
-22.2231,-54.812,South America,7
-22.238,-53.3437,South America,10
-22.5296,-55.7203,South America,1
-18.9249,-54.8434,South America,1
-20.9302,-54.9692,South America,1
-17.5698,-54.7551,South America,6
-20.7849,-51.7007,South America,9
-9.86674,-56.0867,South America,1
-10.1723,-59.4568,South America,2
-16.0764,-57.6818,South America,2
-13.6587,-57.8907,South America,1
-13.5515,-52.2705,South America,1
-15.4643,-55.7499,South America,0
-15.601,-56.0974,South America,60
-15.3188,-58.0046,South America,1
-13.0588,-55.9042,South America,1
-9.99998,-57.5261,South America,1
-13.8374,-56.0743,South America,1
-15.544,-54.2811,South America,1
-16.4673,-54.6372,South America,12
-15.6276,-58.1772,South America,2
-11.8604,-55.5091,South America,11
-14.6229,-57.4933,South America,5
-11.5308,-54.3616,South America,1
