homelat,homelon,homecontinent,n
-27.6852,-48.7813,South America,1
-26.2495,-49.3831,South America,1
-26.5548,-52.5313,South America,1
-26.2579,-48.6344,South America,2
-27.6136,-48.6366,South America,25
-26.3557,-52.8498,South America,1
-28.3144,-49.1806,South America,6
-27.5665,-48.8048,South America,1
-26.4116,-49.074,South America,1
-28.5955,-49.4314,South America,5
-29.108,-49.6328,South America,6
-27.0996,-51.2473,South America,1
-27.2354,-48.6322,South America,3
-28.8287,-49.842,South America,1
-26.8246,-49.269,South America,1
-28.4713,-49.0144,South America,22
-28.518,-49.3238,South America,3
-27.3886,-49.3593,South America,1
-27.0086,-51.1543,South America,1
-2.75814,-66.7595,South America,0
-0.11909,-67.084,South America,0
-3.36017,-39.8288,South America,1
-3.89929,-38.3896,South America,24
-4.55826,-37.7679,South America,2
-4.17741,-38.1271,South America,1
-4.35162,-39.3155,South America,1
-6.52428,-39.4916,South America,2
-4.12967,-38.2412,South America,1
-6.12291,-39.8736,South America,1
-3.72797,-38.6619,South America,14
-5.16768,-40.6536,South America,1
-4.40481,-40.9022,South America,1
-3.8925,-38.4559,South America,2
-6.92146,-39.5651,South America,1
-3.71664,-38.5423,South America,1053
-4.45126,-37.7981,South America,1
-4.15814,-40.7476,South America,1
-4.1209,-38.4707,South America,6
-6.39627,-38.8554,South America,3
-6.36281,-39.2892,South America,2
-4.89764,-40.7537,South America,1
-4.53802,-40.7118,South America,1
-3.96577,-38.5298,South America,1
-3.49933,-39.5836,South America,1
-5.90213,-38.6227,South America,3
-7.19621,-39.3076,South America,3
-6.7448,-38.9706,South America,1
-5.14392,-38.0847,South America,1
-3.86699,-38.6259,South America,17
-3.89143,-38.6829,South America,2
-7.38597,-38.7708,South America,1
-5.52552,-40.7713,South America,2
-3.9784,-38.6183,South America,2
-5.45341,-39.7078,South America,1
-4.01584,-38.3061,South America,1
-4.9663,-39.0155,South America,4
-5.19067,-39.2889,South America,1
-3.46144,-40.2118,South America,1
-4.32608,-40.1523,South America,1
-5.58244,-39.3704,South America,1
-3.68913,-40.3482,South America,11
-3.72965,-40.9923,South America,1
-12.0175,-38.6166,South America,0
-22.0638,-42.0643,South America,0
-2.86582,-67.7919,South America,1
-14.8615,-40.8442,South America,1
-19.8366,-40.3732,South America,0
-20.3155,-40.3128,South America,1
-3.20451,-44.9912,South America,344
-15.6458,-56.1322,South America,2
-8.12819,-35.2976,South America,684
-22.5202,-44.0996,South America,8
-10.7387,-37.8097,South America,0
-9.97499,-67.8243,South America,6
-0.045434,-51.1729,South America,1
-14.8615,-40.8442,South America,527
-15.7795,-47.9297,South America,1
-16.7405,-48.5159,South America,1
-17.9827,-46.9088,South America,1
-15.6458,-56.1322,South America,2
-3.7657,-49.6773,South America,1
-5.09194,-42.8034,South America,4
-26.2683,-52.7843,South America,4
-22.5202,-44.0996,South America,1
-28.5359,-52.1486,South America,1
-10.7387,-37.8097,South America,0
-10.24,-48.3558,South America,23
-9.97499,-67.8243,South America,6
-0.045434,-51.1729,South America,1
-14.8615,-40.8442,South America,509
-15.7795,-47.9297,South America,1
-16.7405,-48.5159,South America,1
-15.6458,-56.1322,South America,2
-3.7657,-49.6773,South America,1
-5.09194,-42.8034,South America,3
-27.0086,-51.1543,South America,32
-10.7387,-37.8097,South America,0
-2.86582,-67.7919,South America,0
-0.045434,-51.1729,South America,1
-14.8615,-40.8442,South America,1
-15.7795,-47.9297,South America,1
-20.3155,-40.3128,South America,1
-16.7405,-48.5159,South America,1
-21.5556,-45.4364,South America,1
-3.7657,-49.6773,South America,1
-6.75148,-38.2311,South America,1
-5.09194,-42.8034,South America,3
-22.5202,-44.0996,South America,8
-12.7502,-60.1488,South America,1
-28.5359,-52.1486,South America,1
-27.0086,-51.1543,South America,30
-9.97499,-67.8243,South America,50
-10.1849,-36.8376,South America,31
-2.86582,-67.7919,South America,532
-0.045434,-51.1729,South America,39
-3.72965,-40.9923,South America,1045
-15.7795,-47.9297,South America,1
-16.0651,-47.9757,South America,1
-15.6458,-56.1322,South America,1
-3.7657,-49.6773,South America,1
-5.09194,-42.8034,South America,3
-25.8772,-52.9051,South America,466
-12.7502,-60.1488,South America,36
2.60994,-60.6058,South America,1
-28.5359,-52.1486,South America,1
-27.0086,-51.1543,South America,27
-20.4237,-49.9781,South America,4866
-14.8615,-40.8442,South America,401
-15.7795,-47.9297,South America,1
-16.0651,-47.9757,South America,1
-21.5556,-45.4364,South America,498
-15.6458,-56.1322,South America,60
-3.7657,-49.6773,South America,1
-12.7502,-60.1488,South America,36
2.60994,-60.6058,South America,1
-28.5359,-52.1486,South America,8
-28.518,-49.3238,South America,379
-3.96577,-38.5298,South America,1
-3.68314,-39.5855,South America,1
-15.7795,-47.9297,South America,1
-20.7849,-51.7007,South America,1
-3.7657,-49.6773,South America,1
-8.76077,-63.8999,South America,11
2.60994,-60.6058,South America,1
-28.5359,-52.1486,South America,8
-10.2138,-36.8442,South America,1
-15.7795,-47.9297,South America,1
-16.0651,-47.9757,South America,1
-20.7849,-51.7007,South America,25
-3.7657,-49.6773,South America,1
-6.37161,-35.0033,South America,0
-6.45441,-37.1067,South America,1
-4.83729,-37.2554,South America,1
2.60994,-60.6058,South America,1
-28.5359,-52.1486,South America,8
-15.7795,-47.9297,South America,1
-20.7849,-51.7007,South America,25
-5.09194,-42.8034,South America,3
-22.5202,-44.0996,South America,1
2.60994,-60.6058,South America,1
-28.5359,-52.1486,South America,8
-20.3155,-40.3128,South America,120
-16.0651,-47.9757,South America,1
-20.7849,-51.7007,South America,19
-3.7657,-49.6773,South America,41
-5.09194,-42.8034,South America,19
-30.0819,-51.0194,South America,1
-10.2138,-36.8442,South America,22
-15.7795,-47.9297,South America,1
-16.0651,-47.9757,South America,51
-20.9302,-54.9692,South America,48
-6.75148,-38.2311,South America,1
-4.83729,-37.2554,South America,82
-15.7795,-47.9297,South America,1
-6.75148,-38.2311,South America,17
-30.033,-52.8928,South America,0
-30.8489,-51.8043,South America,2
-30.0819,-51.0194,South America,254
-15.7795,-47.9297,South America,298
-16.0651,-47.9757,South America,21
-16.0651,-47.9757,South America,15
-16.0651,-47.9757,South America,13
-22.5202,-44.0996,South America,5
3.36161,-59.8333,South America,12
-16.0651,-47.9757,South America,10
-16.0651,-47.9757,South America,8
-22.5202,-44.0996,South America,2
-16.7405,-48.5159,South America,1
-22.2445,-43.7129,South America,1938
-22.5202,-44.0996,South America,2
-16.6517,-49.4927,South America,119
-16.0651,-47.9757,South America,1
-14.8615,-40.8442,South America,15
-7.34588,-39.0416,South America,1
